Gender,Item Purchased,Category,Location,Season,Discount Applied,Promo Code Used,Frequency of Purchases,Purchase Intent Category
Male,Backpack,Accessories,Malaysia,Summer,Yes,Yes,Fortnightly,Wants-based
Female,Jeans,Clothing,Spain,Winter,No,No,Fortnightly,Wants-based
Male,Dress,Clothing,Australia,Spring,No,No,Weekly,Wants-based
Male,Backpack,Accessories,United Kingdom,Fall,Yes,Yes,Weekly,Wants-based
Female,Gloves,Accessories,Nigeria,Winter,No,No,Annually,Wants-based
Male,Handbag,Accessories,Malaysia,Spring,No,No,Weekly,Wants-based
Female,Sandals,Footwear,South Korea,Fall,No,No,Quarterly,Wants-based
Male,Shoes,Footwear,United States,Spring,Yes,Yes,Weekly,Wants-based
Male,T-shirt,Clothing,Indonesia,Winter,No,No,Annually,Wants-based
Male,Dress,Clothing,China,Spring,Yes,Yes,Quarterly,Wants-based
Male,Backpack,Accessories,Argentina,Winter,Yes,Yes,Bi-Weekly,Wants-based
Male,Hat,Accessories,United Kingdom,Fall,Yes,Yes,Fortnightly,Wants-based
Male,Shoes,Footwear,Philippines,Summer,Yes,Yes,Fortnightly,Wants-based
Female,Sandals,Footwear,Nigeria,Fall,No,No,Weekly,Wants-based
Male,Sneakers,Footwear,Malaysia,Winter,Yes,Yes,Weekly,Wants-based
Male,Shoes,Footwear,Spain,Spring,Yes,Yes,Monthly,Wants-based
Female,Handbag,Accessories,Chile,Fall,No,No,Bi-Weekly,Wants-based
Male,Dress,Clothing,Egypt,Fall,Yes,Yes,Quarterly,Wants-based
Male,Jeans,Clothing,Egypt,Fall,Yes,Yes,Weekly,Wants-based
Male,Belt,Accessories,Indonesia,Fall,No,No,Bi-Weekly,Wants-based
Female,Shirt,Clothing,Germany,Summer,No,No,Every 3 Months,Wants-based
Male,Belt,Accessories,Australia,Spring,Yes,Yes,Quarterly,Wants-based
Male,Hat,Accessories,United States,Fall,Yes,Yes,Annually,Wants-based
Male,Scarf,Accessories,Spain,Spring,Yes,Yes,Weekly,Wants-based
Male,Sandals,Footwear,France,Winter,No,No,Weekly,Wants-based
Male,Belt,Accessories,United States,Summer,Yes,Yes,Annually,Wants-based
Male,Boots,Footwear,Malaysia,Winter,Yes,Yes,Annually,Wants-based
Male,Socks,Clothing,Netherlands,Fall,No,No,Every 3 Months,Wants-based
Male,Skirt,Clothing,Nigeria,Fall,Yes,Yes,Every 3 Months,Wants-based
Male,Socks,Clothing,South Korea,Spring,No,No,Weekly,Wants-based
Female,Boots,Footwear,Mexico,Winter,No,No,Monthly,Wants-based
Male,Sneakers,Footwear,Philippines,Spring,Yes,Yes,Monthly,Wants-based
Female,Handbag,Accessories,Egypt,Summer,No,No,Annually,Wants-based
Male,T-shirt,Clothing,Singapore,Winter,Yes,Yes,Quarterly,Wants-based
Male,Hoodie,Clothing,Malaysia,Winter,Yes,Yes,Quarterly,Wants-based
Male,Sneakers,Footwear,Vietnam,Spring,Yes,Yes,Bi-Weekly,Wants-based
Male,Shoes,Footwear,Argentina,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Dress,Clothing,United States,Summer,Yes,Yes,Weekly,Wants-based
Male,Gloves,Accessories,United Kingdom,Fall,Yes,Yes,Every 3 Months,Wants-based
Male,Sneakers,Footwear,Argentina,Winter,No,No,Monthly,Wants-based
Male,Belt,Accessories,Spain,Winter,No,No,Quarterly,Wants-based
Male,Blouse,Clothing,Mexico,Fall,Yes,Yes,Annually,Wants-based
Male,Gloves,Accessories,Malaysia,Spring,No,No,Annually,Wants-based
Male,Skirt,Clothing,Argentina,Winter,Yes,Yes,Fortnightly,Wants-based
Male,Scarf,Accessories,Mexico,Spring,Yes,Yes,Weekly,Wants-based
Male,Dress,Clothing,South Korea,Fall,Yes,Yes,Annually,Wants-based
Male,Handbag,Accessories,Netherlands,Summer,No,No,Quarterly,Wants-based
Male,Sunglasses,Accessories,Mexico,Winter,No,No,Weekly,Wants-based
Female,Blouse,Clothing,United States,Summer,No,No,Monthly,Wants-based
Male,Boots,Footwear,Thailand,Fall,Yes,Yes,Bi-Weekly,Wants-based
Male,Dress,Clothing,Spain,Summer,No,No,Bi-Weekly,Wants-based
Female,Handbag,Accessories,Canada,Fall,No,No,Quarterly,Wants-based
Male,Sunglasses,Accessories,Thailand,Winter,Yes,Yes,Weekly,Wants-based
Male,Handbag,Accessories,Malaysia,Fall,No,No,Weekly,Wants-based
Male,Dress,Clothing,Nigeria,Winter,Yes,Yes,Bi-Weekly,Wants-based
Male,Skirt,Clothing,Australia,Fall,Yes,Yes,Annually,Wants-based
Male,Shirt,Clothing,South Korea,Fall,Yes,Yes,Weekly,Wants-based
Male,Dress,Clothing,Nigeria,Summer,No,No,Fortnightly,Wants-based
Male,Jewelry,Accessories,Kenya,Winter,Yes,Yes,Monthly,Wants-based
Female,Backpack,Accessories,South Africa,Winter,No,No,Weekly,Wants-based
Female,Blouse,Clothing,Egypt,Fall,No,No,Weekly,Wants-based
Female,Backpack,Accessories,South Africa,Summer,No,No,Every 3 Months,Wants-based
Female,Sweater,Clothing,Thailand,Spring,No,No,Fortnightly,Wants-based
Male,Jewelry,Accessories,Italy,Spring,Yes,Yes,Weekly,Wants-based
Male,Dress,Clothing,Netherlands,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Sunglasses,Accessories,China,Spring,Yes,Yes,Every 3 Months,Wants-based
